Term,Definition,Vectorized_Term,Vectorized_Definition,Metadata,Synonyms,FAQ,FAQ_Response,Sample_User_Query,Query_Response
ALTA American Land Title Association,"ALTA members search, review and insure land titles to protect home buyers and mortgage lenders who invest in real estate.",,,,,,,,
AMC Appraisal Management Company,Contracts appraisers to confirm property values.,,,,,,,,
Amenities,"Features that enhance the project but are not essential to the project’s use. Examples include, but are not limited to, swimming pools, fitness centers, tennis courts, playgrounds, gardens, or beach access.",,,,,,,,
AMI,Area Median Income - US Government established income level in a given geographic area.,,,,,,,,
Amortization,"The paying off of debt with a fixed repayment schedule in regular installments over a period of time. With home loan payments, at the beginning of the loan term, most of the monthly payment goes toward interest.",,,,,,,,
Amortization Schedule,A timetable for payment of a mortgage that shows the amount of each payment that should be applied to interest and principal and the remaining unpaid principal balance after each payment is applied.,,,,,,,,
Appraisal,An estimate of value of subject property. Also refers to the process by which a value estimate is obtained.,,,,,,,,
Appreciation,Increasing value (in real estate),,,,,,,,
Approval Letter,Written mortgage loan approval. Commitment Letter.,,,,,,,,
APR,Annual Percentage Rate (as prescribed by TILA) - Mortgage Loan costs calculated over the loan term expressed as a rate. This is not the interest rate.,,,,,,,,
ARM Adjustable Rate Mortgage,Mortgage loan rate that can adjust periodically to reflect market conditions.,,,,,,,,
ASF American Securitization Forum,ASF advocates on behalf of the entire securitization industry.,,,,,,,,
ASR,Account Success Report.,,,,,,,,
Assessed Value,The dollar value assigned to a property for the purpose of measuring applicable taxes.,,,,,,,,
Assets,A thing of value. Property owned by a person (owned automobiles; property; $ in a bank or retirement account; etc). Used to calculate borrower's net worth (assets minus liabilities). Liquid financial assets are used to determine a borrowers ability to afford down payment and closing costs.,,,,,,,,
Assumable Mortgage,Mortgage loan wherein the outstanding principal can be transferred to a buyer under the current mortgage terms. Typically only (some) FHA and VA mortgages are assumable.,,,,,,,,
ATIMA,As Their Interests May Appear. A phrase added to insurance policies and endorsements to add others as insured.,,,,,,,,
AUS,"Automated Underwriting System. A computer-driven process for informing the loan applicant very quickly, sometimes within a few minutes, whether the applicant will be approved, or whether the application will be forwarded to an underwriter. The quick decision is based on information provided by the applicant, which is subject to later verification, and other information retrieved electronically including information about the borrower's credit history and the subject property. DU - Desktop Underwriter. LP Loan Prospector.",,,,,,,,
AVM,"Automated Valuation Model. Calculates property valuations using mathematical modelling and other data (recent sales of comparable properties, etc.).",,,,,,,,
B  Balloon Mortgage,A mortgage loan in which a large portion of the principal is repaid in a single payment at the end of the loan term.,,,,,,,,
Balloon Payment,The outstanding balance due on a balloon mortgage that must be paid in a lump sum at the end of the mortgage term.,,,,,,,,
BK,"Bankruptcy. A legal proceeding in federal court in which a debtor seeks to restructure their obligations to creditors pursuant to the Bankruptcy Code. This generally affects the borrower’s personal liability for a mortgage debt, but not the lien securing the mortgage. BLINK+: Borrower application link.",,,,,,,,
Borrower,Mortgage Loan Applicant.,,,,,,,,
BPO Broker Price Opinion,A real estate agent's determination of the estimated value of residential real property.,,,,,,,,
BPS Basis Points,1/100 of,,,,,,,,
Loan,A short-term loan secured by the borrower’s principal residence (which is usually for sale) that allows the proceeds to be used for closing on a new house before the present home is sold.,,,,,,,,
Broker,A mortgage broker is essentially a middleman between the borrower/homeowner and the bank or mortgage lender. A non-bank mortgage loan originator (or origination company).,,,,,,,,
Broker Origination,"A mortgage loan that is originated under circumstances where a person or firm other than a mortgage loan seller or lender correspondent is acting as a “broker” and receives a commission for bringing together a borrower and a lender. The broker performs some of the loan processing functions (such as taking loan applications; ordering credit reports, appraisals, and title reports; and verifying a borrower’s income and employment), but does not underwrite the loan, fund the loan at settlement, or service the loan. Typically, the mortgage loan is closed in the name of the mortgage loan seller or lender correspondent that commissioned the broker’s services, but may also include so-called “table-funded” mortgage loans where the loan is closed in the broker’s name, but is funded by the mortgage loan seller or the lender correspondent.",,,,,,,,
Business Day,"A day other than (1) a Saturday or Sunday, (2) a day on which the Federal Reserve Bank of New York (or other agent acting as Fannie Mae’s fiscal agent) is authorized or obligated by law or executive order to remain closed, or (3) a day on which the main offices of Fannie Mae in the District of Columbia are scheduled to be closed. In this Guide, the word “day” without the modifier “business” refers to a calendar day.",,,,,,,,
Buydown Account,An account in which funds are held so that they can be applied as part of the mortgage payment as each payment comes due during the period that an interest rate buydown plan is in effect.,,,,,,,,
C C2C Clear to Close Capacity,"Your ability to make your mortgage payments on time. This depends on your income and income stability (job history and security), your assets and savings, and the amount of your income each month that is left over after you've paid for your housing costs, debts and other obligations.",,,,,,,,
Capitalization,"The addition of certain amounts due under the mortgage—such as tax and insurance payments made by the servicer or delinquent interest installments—to the unpaid principal balance of the mortgage, either because the borrower was unable to pay them or the servicer paid them on the borrower’s behalf.",,,,,,,,
Cash Out,(Refinance Loan Type) A mortgage loan refinance in which the borrower(s) receive cash from the equity in their home.,,,,,,,,
CD,Closing Disclosure. TRID required document to replace Final TIL and HUD-1. Initial CD must be issued,,,,,,,,
CEMA,Consolidation Extension &,,,,,,,,
Modification Agreement,"A loan only available to New Yorkers. For more information, visit this link.",,,,,,,,
CENLAR,Servicing Sub Servicer.,,,,,,,,
Certificate of Deposit,Savings tool with fixed maturity date and fixed interest rate.,,,,,,,,
CFPB Consumer Financial Protection Bureau,CFPB works to give consumers the information they need to understand the terms of their agreements with financial companies. Charge-,,,,,,,,
Off,To treat as a loss; to designate as an expense an amount originally recorded as an asset. COC/,,,,,,,,
Changed Circumstance,"A changed circumstance affecting settlement charges,",,,,,,,,
including,An extraordinary event beyond the control of any interested party or other unexpected event specific to the consumer or transaction.,,,,,,,,
COE Certificate of Eligibility,Also known as VA Form,,,,,,,,
Collateral,"An asset that secures a loan or other debt that a lender can take if you don’t repay the money you borrow. For example, if you get a home loan, the bank’s collateral is typically your house.",,,,,,,,
Closing,"Closing, also called “settlement,” is when borrowers and all the other parties in a mortgage loan transaction sign the necessary documents.",,,,,,,,
Closing Agent,"A person who coordinates closing-related activities, such as recording the closing documents and disbursing funds.",,,,,,,,
Closing Costs,Fees associated with a mortgage transaction.,,,,,,,,
Closing Date,Date the necessary documents are signed.,,,,,,,,
CLTV,Combined Loan To Value ratio. Principal balances of all loans on property divided by the lower of property sale price or property appraised value. Co-,,,,,,,,
Borrower,"Any additional borrower(s) whose name(s) appear on loan documents and whose income and credit history are used to qualify for the loan. Under this arrangement, all parties involved have an obligation to repay the loan. For mortgages, the names of applicable co-borrowers also appear on the property's title.",,,,,,,,
COFI,Cost Of Funds Index. Used as an ARM Index Rate.,,,,,,,,
Coinsurance,A property insurance provision that penalizes the insured's loss recovery if the limit of insurance purchased by the insured is less than a specified percentage (typically,,,,,,,,
Collateral,"Property pledged as security to a debt. If the borrower fails to repay the loan, the lender may gain ownership of the collateral and sell it to recover the money.",,,,,,,,
Condo,Unit in a condominium project. A form of homeownership that combines individual ownership of a unit with shared ownership of common facilities. Each owner has a separate mortgage for his or her unit and is responsible for making the payments on the loan and paying associated real estate taxes. An elected board of directors is responsible for operations and management of the common facilities. Each owner pays a monthly recurring fee that covers their share of the cost to repair and maintain the common facilities. Co-,,,,,,,,
op,Unit in a cooperative project Commercial (Property): Real estate that is used for business purposes. UWM does not do commercial loans.,,,,,,,,
Commitment Letter,"The approval letter. A letter from your lender stating the amount of the mortgage, the number of years to repay the mortgage (the term), the interest rate, the loan origination fee, the annual percentage rate and the monthly charges.",,,,,,,,
Community Seconds,"A subsidized second mortgage typically made by a federal, state, or local government agency, a nonprofit organization, a regional Federal Home Loan Bank under one of its affordable housing programs, a federally recognized Native American tribe and its sovereign instrumentalities, or an employer. Comp (Comparable - Comparable Sale): A property of similar size and workmanship as the subject property that has recently sold.",,,,,,,,
Condemnation,"Depending on context, may refer to a determination that a building is not fit for use or is dangerous and must be destroyed, or the taking of private property for a public purpose through an exercise of the right of eminent domain.",,,,,,,,
Condition,Loan stipulation that must be met before a mortgage loan can be closed/funded. Conforming (Loan): A mortgage loan that meets (conforms to) the guidelines of either FNMA or FHLMC.,,,,,,,,
Concession,"Something given up or agreed to in negotiating the sale of the house. For example, the sellers may agree to help pay for closing costs.",,,,,,,,
Construction Loan,A loan to fund the building of a new home.,,,,,,,,
Construction to Perm Mortgage,A mortgage that provides funds for the acquisition or refinancing of unimproved land and the construction of a residential dwelling on the land. Consumer Reporting Agency (or bureau): An organization that is engaged in the preparation of reports that are used by credit grantors to determine the credit and public records history of an individual. The agency obtains data for these reports from repositories of accumulated credit records as well as from other sources.,,,,,,,,
Contingency,"A plan for something that may occur but is not likely. For example, your offer may be contingent on the home passing a home inspection. If the home does not pass inspection, you're protected. Conventional (Loan): A conventional mortgage refers to any mortgage that is not insured or guaranteed by the federal government. All conforming loans are conventional. Jumbo loans, though, are conventional non-conforming loans.",,,,,,,,
Correspondent,Correspondent Lender. Counter-,,,,,,,,
offer,"An offer made in response to a previous offer. For example, after the buyer presents their first offer, the seller may make a counter-offer with a slightly higher sale price.",,,,,,,,
Counterparty,"The other party that participates in a financial transaction such as our trading counterparties; JP Morgan, Jeffries.",,,,,,,,
Coupon,The yield paid by a fixed income security. A fixed income security's coupon rate is simply just the annual coupon payments paid by the issuer relative to the bond's face or par value.,,,,,,,,
CPI,Consumer Price Index. A measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services. CR/,,,,,,,,
Client Request,Communication from the Broker asking or stating certain information.,,,,,,,,
Credit,"The ability of a person to borrow money, or buy goods by paying over time. Credit is extended based on a lender's good opinion of the person's financial situation and reliability.",,,,,,,,
Credit History A credit history consists of information such as,"Number and types of credit accounts; How long each account has been open; Amounts owed, amount of available credit used; Whether bills are paid on time; Number of recent credit inquiries; Information regarding bankruptcies, liens, judgments, or collections.",,,,,,,,
Credit Report,Collection of credit history items on one document.,,,,,,,,
Credit Score,"A numerical value that ranks an individual according to their credit risk at a given point in time, as derived from a statistical evaluation of information in the individual’s credit file that has been proven to be predictive of loan performance. When this term is used by Fannie Mae, it is referring to the classic FICO score developed by Fair Isaac Corporation.",,,,,,,,
CRV,Certificate of Reasonable Value. The Department of Veterans Affairs will need to issue this document. It is based on the appraisal of the property you are planning to purchase.,,,,,,,,
CTC,Clear To Close.,,,,,,,,
CU Collateral Underwriter D DE,Direct Endorsement.,,,,,,,,
Debt,"Borrowed money, the repayment of which may be either secured or unsecured, with various possible repayment schedules.",,,,,,,,
Deed In Lieu,A deed in lieu of foreclosure is a transaction in which the homeowner voluntarily transfers title to the property to the lender in exchange for a release from the mortgage obligation.,,,,,,,,
Default,A loan that has payments overdue more than,,,,,,,,
Defect,A loan-level deficiency that breaches a term contained in the Lender Contract in effect at the time of loan purchase or securitization.,,,,,,,,
Delayed Financing,"A way of purchasing a home in which you pay cash up front, then almost immediately or shortly thereafter obtain a cash-out refinance to mortgage the property, which returns a big chunk of your money to you.",,,,,,,,
Delinquency,"Delinquency occurs when all or part of the Borrower’s monthly installment of principal, interest and, where applicable, Escrow is unpaid after the due date.",,,,,,,,
Depreciation,Decreasing value (in real estate).,,,,,,,,
Discount Points,Fee paid by borrower to lender to obtain a lower interest rate on a mortgage loan.,,,,,,,,
Desktop Appraisal,"An appraisal assignment for which the appraiser completes the appraisal without physically inspecting the property, using data from various sources (real estate agents, homeowners, MLS, tax records, etc).",,,,,,,,
Disbursement Date,The date the loan funds are disbursed for the subject mortgage. The disbursement date may occur on or after the note date.,,,,,,,,
DO,Desktop Originator. A Web-based application that gives originators access to DU through a sponsoring lender.,,,,,,,,
Down Payment,"A portion of the price of a home, usually between",,,,,,,,
DOR,Deed of Reconveyance. A document issued by a mortgage holder indicating that the borrower is released from the mortgage debt.,,,,,,,,
DOT,"Deed of Trust - A Deed of Trust is a type of secured real-estate transaction that some states use instead of mortgages. Legal title in real property is transferred to a trustee, which holds it as security for a loan (debt) between a borrower and lender.",,,,,,,,
DTI,Debt To Income ratio. Total debt divided by qualifying income.,,,,,,,,
DU,Desktop Underwriter.,,,,,,,,
FNMA AUS DURP,Fannie Mae's business implementation of the Home Affordable Refinance Program. (HARP),,,,,,,,
E EASE,Easiest Application System Ever.,,,,,,,,
ECOA,Equal Credit Opportunity Act.,,,,,,,,
Eclosing,"An eClosing is the act of closing a mortgage loan electronically. This occurs through a secure digital environment where some or all of the closing documents are accessed and executed electronically. This can be a hybrid process in which certain key documents, such as the promissory note and security instrument, are printed to paper and wet-signed, while other documents are signed electronically. eClosings result in eMortgages only if the promissory note is signed electronically.",,,,,,,,
EDGE,"UWM's new LOS, replacing the Destiny legacy LOS.",,,,,,,,
EFT Electronic Funds Transfer EMD,Earnest Money Deposit. A deposit submitted with a purchase offer to show that the buyer’s offer is being made in good faith.,,,,,,,,
EPO,Early Pay Off Penalties. Fees charged to a lender when a borrower pays off their loan within a certain period after the loan is sold on the secondary market.,,,,,,,,
EQ,Easy Qualifier - UWM's Pricing Engine that is used to price out a loan scenario.,,,,,,,,
Equity,Value/Amount of real property owned by the borrower.,,,,,,,,
Escrow,"An account in which a neutral third party holds the documents and money in a real estate transfer until all conditions of a sale are met. Also, an account in which money for property taxes and insurance is held until paid; money is added to the account every time a mortgage payment is made.",,,,,,,,
Esign,Electronic Signatures in Global and National Commerce Act. A federal law that gives broad legal effect to the use of electronic signatures and records in interstate commerce.,,,,,,,,
Exposure,"The dollar amount of funds or percentage of a portfolio invested in a particular type of security, market sector or industry, which is usually expressed as a percentage of total portfolio holdings. See Market Exposure also.",,,,,,,,
F FAMB,Find a Mortgage Broker.,,,,,,,,
Fannie Mae,Federal National Mortgage Association. (FNMA),,,,,,,,
FCRA,Fair Credit Reporting Act.,,,,,,,,
Federal Reserve,The Central Bank of the United States.,,,,,,,,
FEMA Federal Emergency Management Agency,A federal agency that provides assistance in areas that have suffered a major disaster or other emergency. It also maintains flood insurance rate maps that identify the Special Flood Hazard Areas in which Fannie Mae requires flood insurance.,,,,,,,,
FHA,Federal Housing Administration - A federal agency within the Department of Housing and Urban Development (HUD) that provides mortgage insurance (MIP) for residential mortgages and sets standards for construction and underwriting.,,,,,,,,
FHA Loan,Mortgage loan insured by FHA.,,,,,,,,
FHFA,Federal Housing Finance Agency.,,,,,,,,
FHLMC,Federal Home Loan Mortgage Corporation. (Freddie Mac),,,,,,,,
FICO,Fair Isaac Corporation. Credit Scoring company.,,,,,,,,
First Mortgage,A mortgage that is the primary lien against a property.,,,,,,,,
Fiscal Year,Any,,,,,,,,
FIU,Financial Investigation Unit.,,,,,,,,
Fixed Installment,"That portion of a mortgage payment that is applied toward principal and interest. When a mortgage negatively amortizes, the fixed installment does not include any amount for principal reduction.",,,,,,,,
Fixed Rate Mortgage,A fully amortizing mortgage loan where the interest rate remains the same through the term of the loan,,,,,,,,
Flood Certification,A flood certification indicates whether or not the subject property is located within a designated flood zone.,,,,,,,,
Flood Insurance,Insurance which protects the insured against loss or damage to their property resulting from flooding.,,,,,,,,
FMV,Fair Market Value. Every home has a value associated with it based on similar home sales in the same market.,,,,,,,,
FNMA,Federal National Mortgage Association. (Fannie Mae),,,,,,,,
Forbearance,(Servicing) To temporarily suspend or reduce monthly mortgage payments for a specific period of time.,,,,,,,,
Foreclosure,(Servicing) The process of taking possession of a mortgaged property as a result of the mortgagor's failure to keep up mortgage payments.,,,,,,,,
Freddie Mac,Federal Home Loan Mortgage Corporation. (FHLMC),,,,,,,,
FRM,Fixed Rate Mortgage. Mortgage loan rate remains constant throughout the term of the loan.,,,,,,,,
FSBO,For Sale By Owner.,,,,,,,,
FTC,Federal Trade Commission.,,,,,,,,
FTHB,"First Time Homebuyer. An individual is to be considered a first-time homebuyer who (1) is purchasing the security property; (2) will reside in the security property as a principal residence; and (3) had no ownership interest (sole or joint) in a residential property during the three-year period preceding the date of the purchase of the security property. In addition, an individual who is a displaced homemaker or single parent also will be considered a first-time homebuyer if they had no ownership interest in a principal residence (other than a joint ownership interest with a spouse) during the preceding three-year time period.",,,,,,,,
G GAAP,Generally Accepted Accounting Principles.,,,,,,,,
GFE,Good Faith Estimate. TRID replaced the GFE with the LE.,,,,,,,,
Gift Letter,A letter written by a family member verifying that a certain amount of money was given to you as a gift and that you don't have to repay it. You can use this money toward a portion of your down payment with some mortgages.,,,,,,,,
GLA,"Total area of finished, above-grade residential space; calculated by measuring the outside perimeter of the structure and includes only finished, habitable, above-grade living space. (Finished basements and attic areas are not generally included in total gross living area.",,,,,,,,
GLBA,"Graham Leach Bliley Act. Law that controls how financial institutions handle private information.  Government (Loan) AKA ""Govie"": FHA or VA loan. A mortgage loan that is insured or guaranteed by a government agency. Examples include FHA-guaranteed mortgage loans, VA-insured mortgage loans, and RD-guaranteed mortgage loans.",,,,,,,,
GNMA,Government National Mortgage Association. Ginnie Mae guarantees investors the timely payment of principal and interest on MBS backed by federally insured or guaranteed loans — mainly FHA or VA loans.,,,,,,,,
Gross Monthly Income,"The income you earn in a month before taxes and other deductions. It may also include rental income, self-employed income, income from alimony, child support, public assistance payments, and retirement benefits.",,,,,,,,
GSA,General Services Administration.,,,,,,,,
GSE,Government Sponsored Enterprise.,,,,,,,,
FNMA and FHLMC H HARP,Home Affordable Refinance Program. Refinance program created by the Federal Housing Finance Agency to help homeowners not current on their payment with little or no equity in their home. Expires December,,,,,,,,
HCLTV,Home equity Combined Loan To Value ratio. Sum of,,,,,,,,
Trading,"Making an investment to reduce the risk of adverse price movements in an asset (mortgage loan). In mortgage banking, this is when we sell a loan at the time the loan is locked in order to lock in the profitability priced into the loan.",,,,,,,,
HELOC,Home Equity Line Of Credit. High-,,,,,,,,
Balance Loan,"A High-Balance Mortgage Loan is defined as a conventional mortgage where the original loan amount exceeds the conforming loan limits published yearly by the Federal Housing Finance Agency (FHFA), but does not exceed the loan limit for the high-cost area in which the mortgaged property is located, as specified by the FHFA. The conforming loan limit is $726,200 and the high-cost area limit is $1,089,300 for a",,,,,,,,
HMDA,Home Mortgage Disclosure Act. HMDA requires certain financial institutions to provide mortgage data to the public.,,,,,,,,
HOA,Home Owners',,,,,,,,
